Area,Perimeter,Shape Factor,ECR,Orientation,Scale Factor,X Coordinate,Y Coordinate,Inertia Tensor XX,Inertia Tensor XY,Inertia Tensor YY,Determinant,Aspect Ratio,Compactness Ratio,area-to-ellipse Ratio,Inertia Tensor/Area XX,Inertia Tensor/Area XY,Inertia Tensor/Area YY
0.0020509521626802234,152.5685424949238,0.8502769917979721,0.02555070154557681,-0.24049209075939473,1.176706809875011,0.0,0.0,110.68334230284702,9.637962207105053,147.62013605442178,0,1.28,1.0266666666666666,0.7722975931141193,0.0702751379700616,0.006119341083876224,0.09372707051074398
0.0028843549462455203,210.40916292848976,0.6287156882288097,0.0303004735054267,0.4263884950399976,1.5783960944027158,0.0,0.0,158.12358789089373,-70.74942955123335,281.7327020265071,0,1.8329571106094809,1.11196388261851,0.6961749143035175,0.0713876243299746,-0.031941051716132436,0.12719309346569171
0.0022072151845987167,166.08326112068522,0.7721965179123398,0.026506195769909195,0.43788775758560916,1.3468247356140544,0.0,0.0,116.53442973869002,-31.774855770485814,169.52295368122455,0,1.3238938053097344,1.0536873156342184,0.7737485065280523,0.06875187595202951,-0.01874622759320697,0.10001354199482275
0.0014428285690474207,132.76955262170046,0.7898645828087025,0.021430506237515856,0.4211485477946911,1.3346010345183972,0.0,0.0,77.01801795931136,-19.854201149500184,112.4465871769474,0,1.2951263537906137,1.0568592057761732,0.7616688484874762,0.06951084653367452,-0.0179189541060471,0.10148608950988033
0.0039169930827568965,222.3086578651014,0.7648476602549313,0.03531030476157127,1.3832372101996746,1.1008113395384485,0.0,0.0,268.60166760535736,-8.652291473623498,224.65498641477333,0,1.5342420212765957,1.0701462765957446,0.7657994133640484,0.08929576715603636,-0.0028764266867099394,0.0746858332495922
0.0021837757313109426,183.82337649086287,0.6236507494746136,0.026365079261866643,-0.7882332741989317,2.239200014324412,0.0,0.0,187.55873441549687,124.71088411064275,186.14444255988533,0,1.9701848539057842,1.0590339892665475,0.7532827664732711,0.11184182135688543,0.07436546458595275,0.11099847499098708
0.016242238936578047,464.6589462905455,0.7259591440208345,0.07190316562761401,1.530307077154804,1.14425859216343,0.0,0.0,1180.7813518135592,-11.286858729744381,902.6290822522836,0,1.6069109276036238,1.0801731740559608,0.7551574170973423,0.09466698884098126,-0.0009049032894848378,0.07236663851938456
0.00048181098424868743,98.38477631085023,0.48034777460706446,0.012384070395403114,0.06650731102840214,3.7670861730609198,0.0,0.0,8.806435354273196,-7.278991964937898,117.60669101533966,0,1.3297297297297297,1.0945945945945945,0.737681024697868,0.0238011766331708,-0.019672951256588914,0.3178559216630802
0.0009948745728810735,107.39696961966999,0.8323752688549065,0.017795460434080427,-0.714273044147092,1.254509584250969,0.0,0.0,62.553397659055406,14.25516707327101,66.63657794468352,0,1.513089005235602,1.0471204188481675,0.7583058568694633,0.0818761749464076,0.018658595645642685,0.08722065176005697
0.0009401825152096008,107.74011537017762,0.7816137468793984,0.017299404307904886,0.8602464619537054,1.225761457986221,0.0,0.0,63.06839266119812,-12.158182487856896,59.400879367101226,0,1.554016620498615,1.0789473684210527,0.7522404234981508,0.08735234440609158,-0.0168395879333198,0.08227268610401832
